id,author_id,display_name,main_institution_name,main_institution_id,main_institution_type,simplified_institution_category,target_firm_label,publication_count,year_list,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000005785,A5000005785,Temilola Fatoyinbo,Goddard Space Flight Center,I1306266525,facility,research_institute,Other,1,2022,0.0,0.0,0.0,5.5095984033568355e-21,0
A5000018396,A5000018396,S.-B. Suleimanov,National Academy of Sciences of Ukraine,I149851306,funder,unknown,Other,1,2022,0.000178826895565093,3.0,0.0,1.4443081638495743e-15,1
A5000019783,A5000019783,Mark Harman,,,,unknown,Other,1,2022,0.0002384358607534573,4.0,0.0,1.076093438155632e-14,2
A5000021633,A5000021633,Wenguan Ma,Tianjin University,I162868743,education,education,Other,1,2022,0.0002384358607534573,4.0,0.0,1.076093438155632e-14,3
A5000023371,A5000023371,Ali Al‐Naji,University of South Australia,I170239107,education,education,Other,1,2022,0.000178826895565093,3.0,0.0,1.4443081638495743e-15,4
A5000024193,A5000024193,YuTong Du,Institute of Microbiology,I4210134982,facility,research_institute,Other,1,2022,0.000715307582260372,12.0,0.0,5.842653281387934e-11,5
A5000026575,A5000026575,Alexander Kolesnikov,Google (Switzerland),I4210100430,company,company,Google / Google DeepMind / DeepMind,1,2022,0.000357653791130186,6.0,0.0,2.8480335612539106e-07,6
A5000027382,A5000027382,Hiroshi Fujita,Gifu University,I42405503,education,education,Other,1,2022,0.00029804482594182163,5.0,0.0,5.552405779111559e-14,7
A5000034124,A5000034124,Lihong Zhan,Gladstone Institutes,I1321430492,nonprofit,nonprofit,Other,1,2022,0.001072961373390558,18.0,0.0,1.7778796244660714e-09,8
A5000038422,A5000038422,Andrew N. Van,Washington University in St. Louis,I204465549,education,education,Other,1,2022,0.0013710061993323795,23.0,0.0,1.5269219801902267e-08,9
A5000039237,A5000039237,Rebecca Nedellec,Scripps Research Institute,I123431417,nonprofit,nonprofit,Other,1,2022,0.00220553171196948,37.0,0.0,9.102743677266291e-07,10
A5000043237,A5000043237,Niklas Muennighoff,,,,unknown,Other,2,2022,0.0007749165474487363,13.0,0.0,3.984403741241469e-07,11
A5000067976,A5000067976,Jin-Jian Chen,Shanghai Jiao Tong University,I183067930,education,education,Other,1,2022,0.00011921793037672866,2.0,0.0,1.0844542537327259e-16,12
A5000072353,A5000072353,Gabrielle Quinn,,,,unknown,Other,1,2022,0.0004768717215069146,8.0,0.0,3.711945252636519e-10,13
