id,author_id,display_name,main_institution_name,main_institution_id,main_institution_type,simplified_institution_category,target_firm_label,publication_count,year_list,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000019783,A5000019783,Mark Harman,Meta (United Kingdom),I4210111288,company,company,Other,1,2023,0.00034376074252320387,6.0,0.0,4.103234368780119e-10,0
A5000036192,A5000036192,Daniel I. Schlessinger,Northwestern University,I111979921,education,education,Other,1,2023,0.0004010541996104045,7.0,0.0,7.649702629427859e-10,1
A5000039831,A5000039831,Stevie Bergman,,,,unknown,Other,1,2023,0.0006875214850464077,12.0,0.0,8.319514621413699e-19,2
A5000043237,A5000043237,Niklas Muennighoff,,,,unknown,Other,1,2023,0.0005156411137848059,9.0,0.0,1.5239206800383639e-07,3
A5000043507,A5000043507,Luai A. Ahmed,University of Washington,I201448701,education,education,Other,1,2023,0.0,0.0,0.0,3.4717735040644275e-39,4
A5000045142,A5000045142,Scott W. Cunningham,Worcester Polytechnic Institute,I107077323,education,education,Other,1,2023,0.0,0.0,0.0,3.4717735040644275e-39,5
A5000048544,A5000048544,Takao Hiraki,Okayama University,I163770644,education,education,Other,1,2023,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,6
A5000058783,A5000058783,Lucinda McKnight,Deakin University,I149704539,education,education,Other,1,2023,0.0004010541996104045,7.0,0.0,6.254191143687736e-23,7
A5000066408,A5000066408,Ahmad Faisal Choiril Anam Fathoni,Binus University,I166073570,education,education,Other,1,2023,0.0,0.0,0.0,3.4717735040644275e-39,8
A5000069468,A5000069468,Yining Hong,,,,unknown,Other,2,2023,0.0005156411137848059,12.0,2.0341508003051965e-05,5.446096578013533e-09,9
A5000080119,A5000080119,Aykut Erdem,Koç University,I1351752,education,education,Other,2,2023,0.00045834765669760516,9.0,0.0,9.411954834863617e-24,10
A5000088252,A5000088252,S.L. Chen,,,,unknown,Other,2,2023,0.0005729345708720064,10.0,0.00013561005335367978,8.5456516518243e-16,11
A5000092822,A5000092822,Christopher T. Whitlow,Wake Forest University,I47251452,education,education,Other,2,2023,0.0004010541996104045,14.0,0.0,5.130905870978867e-18,12
A5000107414,A5000107414,Kehan Li,Peking University,I20231570,education,education,Other,1,2023,0.0004010541996104045,7.0,0.0,1.214223053221604e-09,13
A5000111344,A5000111344,Richard S. Zemel,Amazon (United States),I1311688040,company,company,Amazon,1,2023,0.0005156411137848059,9.0,0.0,4.195180407409426e-09,14
A5000111662,A5000111662,Devansh Arpit,,,,unknown,Other,1,2023,0.000802108399220809,14.0,0.0,6.380922262418581e-06,15
A5000122127,A5000122127,Zeynab Samei,,,,unknown,Other,1,2023,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,16
A5000126238,A5000126238,Yacine Jernite,,,,unknown,Other,3,2023,0.001260456055918414,24.0,0.0005017571974086152,8.241275480661937e-12,17
A5000141831,A5000141831,Yiyu Shi,University of Notre Dame,I107639228,education,education,Other,1,2023,0.00017188037126160193,3.0,0.0,2.430228077421125e-11,18
A5000145535,A5000145535,Ping Luo,Shanghai Artificial Intelligence Laboratory,I4391012619,facility,research_institute,Other,2,2023,0.0018906840838776213,64.0,0.0,1.4292205099239446e-05,19
